calories,protein,fat,carbohydrates
86.4,3.42,0.144,17.9
48.0,0.5,0.32,11.0
94.0,3.12,0.78,18.8
500.0,5.0,22.5,52.74000000000001
369.0,8.0,1.71,10.2
88.0,3.53,1.18,14.7
328.0,8.62,0.15,10.7
90.0,2.97,0.634,18.1
121.0,3.31,4.94,15.9
265.0,5.25,1.55,7.04
88.0,2.35,1.18,17.6
95.0,7.54,0.37,15.4
95.0,4.4,0.2,19.0
119.0,3.89,4.84,15.0
73.0,0.81,0.22,17.45
121.0,3.37,4.95,15.7
284.0,2.42,16.17,32.35
83.1,2.95,0.92,15.3
35.0,5.29,0.88,2.35
324.0,0.9,0.18,17.6
121.0,3.36,4.97,15.6
123.0,3.63,5.43,15.0
45.3,2.94,0.167,8.81
88.0,2.35,1.18,17.1
45.4,2.94,0.164,8.86
123.0,3.6,5.52,14.8
121.0,3.57,5.39,14.7
88.0,2.95,0.628,17.9
127.0,3.62,5.43,15.8
86.4,3.42,0.144,17.9
60.2,9.72,1.01,3.07
60.2,9.72,1.01,3.07
59.0,0.31,0.54,13.7
151.0,0.36,2.14,19.48
115.0,16.7,2.49,5.66
91.0,9.11,1.33,10.78
93.0,4.57,1.34,15.69
315.0,6.84,7.35,55.35
60.2,9.72,1.01,3.07
60.2,9.72,1.01,3.07
100.0,3.53,1.18,18.8
149.0,3.3,8.19,15.6
176.0,12.0,12.8,4.41
140.0,3.43,7.3,15.1
126.0,3.24,3.99,19.3
183.0,12.2,13.2,4.43
88.0,2.35,1.18,17.6
127.0,6.67,7.33,8.0
165.0,3.26,9.18,17.4
171.0,3.41,9.73,17.4
177.0,3.48,9.73,18.8
256.0,10.3,0.37,3.64
226.0,9.53,0.24,3.43
352.0,8.03,0.22,12.5
80.0,7.76,0.11,11.9
82.0,4.12,5.29,6.47
148.0,7.03,6.25,16.4
93.0,7.64,1.69,11.8
82.0,8.24,4.01,3.24
94.0,7.05,1.82,12.3
385.0,8.11,1.71,11.0
443.0,8.25,2.92,11.7
